"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[wednesday]] [[september]] [[pm]] tmobile [[subscribers]] [[value]] [[feedback]] shortebef","[[hoy]] [[feb]] [[midday]] tmobile [[subscribe]] [[interest]] [[comments]] shortebef",1.4722347259521484e-05,0.9853441715240479,1,0,1,120,"Successful"
"receive tax refund process due incomplete personal information please [[confirm]] information link order expedite processing refund avoid potential delays penalties please provide accurate personal information immediately ensure precise payment deadline november [[thank]] [[cooperation]] sincerely","receive tax refund process due incomplete personal information please [[emphasize]] information link order expedite processing refund avoid potential delays penalties please provide accurate personal information immediately ensure precise payment deadline november [[salutes]] [[trabajo]] sincerely",1.341104507446289e-05,0.5524343252182007,1,0,1,153,"Successful"
"[[friendly]] [[reminder]] [[dont]] forget [[confirm]] sam update day� reply stop opt","[[talkative]] [[recollect]] [[haha]] forget [[affirmation]] sam update day� reply stop opt",2.104043960571289e-05,0.9996848106384277,1,0,1,153,"Successful"
"usps [[package]] arrived warehouse could [[delivered]] due [[incomplete]] address information please [[confirm]] address [[link]] please reply exit text [[message]] open activate [[link]] copy link open safari browser usps team wishes wonderful day","usps [[modules]] arrived warehouse could [[shipped]] due [[partial]] address information please [[stressing]] address [[bonding]] please reply exit text [[messages]] open activate [[bonding]] copy link open safari browser usps team wishes wonderful day",0.00996851921081543,0.5461766719818115,1,0,1,297,"Successful"
"shipment awbdmuio reverted [[reschedule]] go","shipment awbdmuio reverted [[rearranging]] go",1.1622905731201172e-05,0.5466263294219971,1,0,1,24,"Successful"
"[[final]] chance claim ur £ worth discount [[vouchers]] today text yes savamob [[member]] offers mobile","[[latter]] chance claim ur £ worth discount [[pamphlets]] today text yes savamob [[gentlemen]] offers mobile",1.4424324035644531e-05,0.9629555344581604,1,0,1,72,"Successful"
"unusual activity weve suspend amazon account due unusual activity [[login]] [[attempt]] [[blocked]] chrome system suspend amazon account security reasons unlock amazon account please verify link need take action within days account suspended regards amazon [[teams]]","unusual activity weve suspend amazon account due unusual activity [[reconnect]] [[striving]] [[stymied]] chrome system suspend amazon account security reasons unlock amazon account please verify link need take action within days account suspended regards amazon [[squad]]",9.357929229736328e-06,0.8701403737068176,1,0,1,168,"Successful"
"refund validation request [[cooperation]] requested validate refund via online verification process sqanzqcomcb","refund validation request [[concerto]] requested validate refund via online verification process sqanzqcomcb",8.58306884765625e-06,0.7293938994407654,1,0,1,48,"Successful"
"httptms widelivecomindex wmlidadafirsttrue¡[[c]] c [[ringtone]]¡","httptms widelivecomindex wmlidadafirsttrue¡[[iii]] c [[tone]]¡",0.0008890628814697266,0.0010159611701965332,1,1,1,26,"Failed"
"[[sparkling]] shopping breaks per [[person]] call [[visit]]","[[glowing]] shopping breaks per [[personalities]] call [[tour]]",0.00015866756439208984,0.9770297408103943,1,0,1,78,"Successful"
"[[urgent]] please call [[landline]] £ [[cash]] [[holiday]] await [[collection]] [[cs]] [[sae]] [[po]] [[box]] mxy","[[swift]] please call [[fixes]] £ [[amount]] [[intermission]] await [[compiling]] [[sc]] [[git]] [[cp]] [[mailbox]] mxy",4.649162292480469e-06,0.7563303112983704,1,0,1,171,"Successful"
"[[urgent]] mobile number awarded inr [[prize]] [[guaranteed]] [[call]] [[land]] line [[claim]] valid hrs","[[quick]] mobile number awarded inr [[sweepstakes]] [[segura]] [[please]] [[sol]] line [[say]] valid hrs",4.947185516357422e-06,0.9278109073638916,1,0,1,186,"Successful"
"todays voda numbers ending selected receive £ [[reward]] [[match]] please call [[quoting]] [[claim]] [[code]] [[standard]] rates apply","todays voda numbers ending selected receive £ [[payoffs]] [[ballgame]] please call [[arguing]] [[asserting]] [[ciphers]] [[norms]] rates apply",7.867813110351562e-06,0.6420092582702637,1,0,1,194,"Successful"
"regionsbank [[team]] locked debit [[july]] [[th]] please visit regionsprotectcom unlock reply stop [[opt]]","regionsbank [[tooling]] locked debit [[jun]] [[tr]] please visit regionsprotectcom unlock reply stop [[mukhtar]]",3.248453140258789e-05,0.6426400542259216,1,0,1,112,"Successful"
"youhv completed [[transaction]] aud pm please follow [[link]] done","youhv completed [[surgeries]] aud pm please follow [[nol]] done",1.0907649993896484e-05,0.9999895691871643,1,0,1,67,"Successful"
"usps package arrived warehouse delivered due [[incomplete]] address information please [[confirm]] address [[link]]","usps package arrived warehouse delivered due [[partial]] address information please [[vindicate]] address [[bind]]",1.919269561767578e-05,0.9645397663116455,1,0,1,117,"Successful"
"chance [[reality]] fantasy show [[call]] p per min ntt ltd","chance [[facto]] fantasy show [[called]] p per min ntt ltd",0.00026416778564453125,0.6369017362594604,1,0,1,71,"Successful"
"mobile mths entitled update latest colour camera mobile free [[call]] mobile update co free","mobile mths entitled update latest colour camera mobile free [[dawa]] mobile update co free",0.06294101476669312,0.9985304474830627,1,0,1,65,"Successful"
"[[dear]] customeruve [[selected]] [[stay]] fve [[star]] [[hotels]] tdays [[draw]] [[holiday]] valued inr dial [[claim]]","[[invaluable]] customeruve [[click]] [[retaining]] fve [[sing]] [[lodges]] tdays [[pull]] [[shindig]] valued inr dial [[argument]]",4.410743713378906e-06,0.9955177307128906,1,0,1,217,"Successful"
"please [[call]] [[customer]] service representative ampm [[guaranteed]] £ [[cash]] £ [[prize]]","please [[praying]] [[subscriptions]] service representative ampm [[insure]] £ [[crate]] £ [[pricing]]",9.894371032714844e-06,0.4003819227218628,1,1,1,193,"Failed"
"[[irs]] last annual calculation fiscal acitivity [[determined]] eligble tax refund section c internal revenue code please submit tax refund request form [[allow]] us days process internal revenue service united states department treasury taxid","[[pi]] last annual calculation fiscal acitivity [[define]] eligble tax refund section c internal revenue code please submit tax refund request form [[helps]] us days process internal revenue service united states department treasury taxid",1.2516975402832031e-05,0.5378621220588684,1,0,1,107,"Successful"
"want new nokia colour phone deliveredtomorrow wit free texts free camcorder reply [[call]]","want new nokia colour phone deliveredtomorrow wit free texts free camcorder reply [[dawa]]",0.016242384910583496,0.9947509169578552,1,0,1,64,"Successful"
"youve tkts euro cup [[final]] £ [[cash]] collect [[call]] b pobox ppm","youve tkts euro cup [[last]] £ [[currencies]] collect [[dawa]] b pobox ppm",6.079673767089844e-06,0.9576952457427979,1,0,1,107,"Successful"
"receive tax refund process due incomplete personal information order [[expedite]] processing refund avoid potential delays penalties please provide accurate personal information immediately ensure precise payment deadline november please [[reply]] [[exit]]","receive tax refund process due incomplete personal information order [[vite]] processing refund avoid potential delays penalties please provide accurate personal information immediately ensure precise payment deadline november please [[solutions]] [[letting]]",0.0004241466522216797,0.678350031375885,1,0,1,129,"Successful"
"receive tax refund process due [[incomplete]] personal information please [[confirm]] information link please reply exit sms open sms activation link copy link [[open]] safari [[browser]] [[mission]] irs help [[american]] [[taxpayers]] [[understand]] meet tax [[obligations]] provide [[highest]] quality service","receive tax refund process due [[deficient]] personal information please [[confirmation]] information link please reply exit sms open sms activation link copy link [[inaugural]] safari [[scouts]] [[duties]] irs help [[usa]] [[payers]] [[confess]] meet tax [[debt]] provide [[haut]] quality service",8.52346420288086e-06,0.5079195499420166,1,0,1,295,"Successful"
"[[u]] [[r]] [[entitled]] update latest colour mobiles [[camera]] free call mobile update co free","[[ou]] [[s]] [[empowered]] update latest colour mobiles [[chambre]] free call mobile update co free",4.601478576660156e-05,0.9949362874031067,1,0,1,56,"Successful"
"todays vodafone numbers ending selected receive [[rs]] [[award]] [[match]] please call [[quoting]] [[claim]] [[code]] [[standard]] rates apply","todays vodafone numbers ending selected receive [[r]] [[prices]] [[games]] please call [[arguing]] [[dunning]] [[cryptography]] [[norms]] rates apply",5.781650543212891e-06,0.5730528831481934,1,0,1,197,"Successful"
"[[refused]] [[loan]] [[secured]] [[unsecured]] cant get credit call free text back [[help]]","[[negate]] [[borrowing]] [[protections]] [[unstable]] cant get credit call free text back [[helping]]",1.4781951904296875e-05,0.9791291952133179,1,0,1,186,"Successful"
"hey [[john]] im hard time delivering [[parcel]] please fill missing details zskuyydcomajbdnxg","hey [[tsun]] im hard time delivering [[shitload]] please fill missing details zskuyydcomajbdnxg",1.4960765838623047e-05,0.993236243724823,1,0,1,34,"Successful"
"someone u know asked [[dating]] service [[contact]] cant [[guess]] call [[revealed]] pobox sxy [[p]]","someone u know asked [[swinger]] service [[coordination]] cant [[thoughts]] call [[display]] pobox sxy [[w]]",1.043081283569336e-05,0.5381918549537659,1,0,1,162,"Successful"
"receive tax [[refund]] process due incomplete personal information please [[confirm]] information [[link]] [[mission]] [[irs]] [[help]] [[american]] [[taxpayers]] understand meet tax [[obligations]] provide [[highest]] quality service","receive tax [[depreciation]] process due incomplete personal information please [[ensures]] information [[liens]] [[mandates]] [[dci]] [[contributions]] [[usa]] [[shareholder]] understand meet tax [[responsibilities]] provide [[haut]] quality service",5.602836608886719e-06,0.85665363073349,1,0,1,322,"Successful"
"[[guaranteed]] £ award even £ cashto [[claim]] [[ur]] [[award]] [[call]] free stop getstop [[php]]","[[ensure]] £ award even £ cashto [[asks]] [[thier]] [[rewards]] [[summon]] free stop getstop [[asp]]",2.872943878173828e-05,0.7069679498672485,1,0,1,204,"Successful"
"receive tax [[refund]] process due incomplete personal information please [[confirm]] information [[link]] [[mission]] [[irs]] [[help]] [[american]] [[taxpayers]] understand meet tax [[obligations]] provide [[highest]] quality service","receive tax [[depreciation]] process due incomplete personal information please [[ensures]] information [[liens]] [[mandates]] [[dci]] [[contributions]] [[usa]] [[shareholder]] understand meet tax [[responsibilities]] provide [[haut]] quality service",5.602836608886719e-06,0.85665363073349,1,0,1,322,"Successful"
"£ price [[claim]] [[call]]","£ price [[argument]] [[dawa]]",1.6748905181884766e-05,0.9999953508377075,1,0,1,104,"Successful"
"[[dear]] vdafne customeryou [[winner]] [[guaranteed]] [[caller]] [[prize]] [[final]] [[attempt]] [[contact]] [[claim]] [[call]]","[[invaluable]] vdafne customeryou [[conquest]] [[ensures]] [[pastor]] [[awards]] [[last]] [[search]] [[call]] [[vindicate]] [[dawa]]",1.1742115020751953e-05,0.9980527758598328,1,0,1,322,"Successful"
"want new [[video]] [[handset]] time network [[mins]] unlimited [[text]] [[camcorder]] reply call del [[sat]]","want new [[filmmaking]] [[telephones]] time network [[min]] unlimited [[editorial]] [[recorder]] reply call del [[sin]]",0.0006435513496398926,0.9972546100616455,1,0,1,90,"Successful"
"[[winner]] [[valued]] network customer [[selected]] receivea £ prize reward claim [[call]] [[claim]] [[code]] kl","[[earns]] [[worth]] network customer [[choices]] receivea £ prize reward claim [[summoning]] [[dunning]] [[scrambling]] kl",7.3909759521484375e-06,0.9851025938987732,1,0,1,245,"Successful"
"someone u know asked dating service [[contact]] cant [[guess]] call [[revealed]] po box wu","someone u know asked dating service [[ties]] cant [[feel]] call [[highlights]] po box wu",3.266334533691406e-05,0.99503093957901,1,0,1,145,"Successful"
"[[urgent]] please [[call]] [[landline]] £ [[cash]] [[luxury]] canary [[islands]] [[holiday]] await [[collection]] tcs [[sae]] [[po]] [[box]] mxy ppm","[[rapid]] please [[phoning]] [[static]] £ [[amount]] [[splendor]] canary [[isla]] [[festivity]] await [[accumulates]] tcs [[cas]] [[pu]] [[mailbox]] mxy ppm",3.814697265625e-06,0.767270028591156,1,0,1,221,"Successful"
"comerica comerica banking profile [[shown]] [[irregularities]] visit update online banking profile","comerica comerica banking profile [[illustrate]] [[disadvantages]] visit update online banking profile",1.0073184967041016e-05,0.5649539828300476,1,0,1,104,"Successful"
"£ xmas [[reward]] waiting [[computer]] randomly picked loyal mobile customers receive £ [[reward]] [[call]]","£ xmas [[award]] waiting [[jukebox]] randomly picked loyal mobile customers receive £ [[paying]] [[summoning]]",1.2040138244628906e-05,0.9405465722084045,1,0,1,130,"Successful"
"[[guaranteed]] £ [[cash]] £ prize [[claim]] [[yr]] [[prize]] [[call]] [[customer]] [[service]] representative ampm cost [[p]]","[[bumpers]] £ [[sums]] £ prize [[petitions]] [[centuries]] [[allowances]] [[convene]] [[audiences]] [[serves]] representative ampm cost [[pages]]",4.76837158203125e-06,0.9053074717521667,1,0,1,229,"Successful"
"[[dear]] customeruve [[selected]] [[stay]] fve [[star]] [[hotels]] tdays [[draw]] [[holiday]] valued inr dial [[claim]]","[[invaluable]] customeruve [[click]] [[retaining]] fve [[sing]] [[lodges]] tdays [[pull]] [[shindig]] valued inr dial [[argument]]",4.410743713378906e-06,0.9955177307128906,1,0,1,217,"Successful"
"[[u]] [[secret]] [[admirer]] [[looking]] [[make]] [[contact]] ufind rreveal [[thinks]] [[ur]] specialcall stopsms","[[ni]] [[unlisted]] [[breather]] [[frisk]] [[furnishes]] [[telephoning]] ufind rreveal [[deems]] [[iz]] specialcall stopsms",5.7220458984375e-06,0.9600937366485596,1,0,1,208,"Successful"
"rmo rhb rm charged card numer awgklia reference [[code]] [[call]] u perform txn","rmo rhb rm charged card numer awgklia reference [[cryptography]] [[dawa]] u perform txn",2.0325183868408203e-05,0.8835482001304626,1,0,1,78,"Successful"
"receive tax [[refund]] [[process]] due incomplete [[personal]] information please [[confirm]] information [[link]] [[mission]] [[irs]] help american [[taxpayers]] [[understand]] [[meet]] tax [[obligations]] [[provide]] [[highest]]","receive tax [[rebate]] [[processes]] due incomplete [[interpersonal]] information please [[reiterate]] information [[contacting]] [[mandates]] [[dci]] help american [[payers]] [[confess]] [[confront]] tax [[schoolwork]] [[donne]] [[greatest]]",5.424022674560547e-06,0.5075922012329102,1,0,1,470,"Successful"
